gene,D3,K2
AKAP13,4229,1362
AKAP14,2,6
AKAP17A,5,23
AKAP2,2,0
AKAP3,13,0
AKAP4,0,1
AKAP5,13,3
AKAP6,48,22
AKAP7,186,115
AKAP8,854,702
AKAP8L,1363,1638
AKAP9,1415,810
AKIP1,571,236
AKIRIN1,2190,575
AKIRIN2,781,509
AKNA,1590,97
AKNAD1,4,15
AKR1A1,1480,2651
AKR1B1,7964,20086
AKR1B10,1,0
AKR1B15,6,2
AKR1C1,145,409
AKR1C2,2029,6066
AKR1C3,1814,1596
AKR1C4,3,0
AKR1C6P,0,1
AKR1C8P,0,1
AKR1D1,0,0
AKR1E2,81,62
AKR7A2,697,764
AKR7A2P1,6,4
AKR7A3,5,8
AKR7L,13,6
AKT1,3684,2055
AKT1S1,1716,1362
AKT2,1896,897
AKT3,515,189
AKTIP,639,159
ALAD,386,355
ALAS1,1571,1238
ALAS2,4,4
ALB,2,1
ALCAM,738,353
ALDH16A1,218,147
ALDH18A1,4196,4307
ALDH1A1,64,58
ALDH1A2,1,0
ALDH1A3,67,23
ALDH1B1,1122,394
ALDH1L1,5,15
ALDH1L1-AS1,0,0
ALDH1L1-AS2,0,0
ALDH1L2,19,7
ALDH2,38,105
ALDH3A1,0,0
ALDH3A2,879,1361
ALDH3B1,546,435
ALDH3B2,0,0
ALDH4A1,305,182
ALDH5A1,193,138
ALDH6A1,387,226
ALDH7A1,241,363
ALDH8A1,29,45
ALDH9A1,906,1526
ALDOA,7579,18323
ALDOB,0,0
ALDOC,113,313
ALG1,444,137
ALG10,164,51
ALG10B,407,36
ALG11,239,27
ALG12,535,260
ALG13,717,354
ALG14,178,77
ALG1L,27,4
ALG1L2,1,0
ALG1L9P,14,6
ALG2,1105,290
ALG3,1695,1256
ALG5,924,701
ALG6,215,91
ALG8,812,388
ALG9,469,243
ALK,0,3
ALKBH1,331,327
ALKBH2,796,1425
ALKBH3,706,388
ALKBH3-AS1,10,0
ALKBH4,135,74
ALKBH5,954,596
ALKBH6,136,55
ALKBH7,177,488
ALKBH8,1200,278
ALLC,0,1
ALMS1,1500,431
ALMS1-IT1,58,31
ALMS1P,1,1
ALOX12,16,7
ALOX12-AS1,6,14
ALOX12B,2,1
ALOX12P2,7,0
ALOX15,0,0
ALOX15B,0,0
ALOX15P1,1,0
ALOX5,0,1
ALOX5AP,0,1
ALOXE3,52,43
ALPI,0,0
ALPK1,685,307
ALPK2,312,50
ALPK3,2,6
ALPL,0,0
ALPP,1,1
ALPPL2,0,0
ALS2,1233,506
ALS2CL,120,116
ALS2CR11,8,2
ALS2CR12,5,1
ALX1,1,0
ALX3,64,53
ALX4,3,0
ALYREF,695,726
AMACR,21,4
AMBN,0,0
AMBP,1,7
AMBRA1,684,775
AMD1,4479,1054
AMDHD1,18,13
AMDHD2,43,17
AMELX,0,0
AMELY,0,0
AMER1,931,39
AMER2,0,0
AMER3,0,0
AMFR,3653,3122
AMH,17,51
AMHR2,0,0
AMICA1,0,1
AMIGO1,106,22
AMIGO2,637,134
AMIGO3,58,25
AMMECR1,1092,139
AMMECR1L,1681,463
AMN,1,0
AMN1,41,19
AMOT,89,33
AMOTL1,1449,321
AMOTL2,3364,1327
AMPD1,0,1
AMPD2,1248,2350
AMPD3,131,209
AMPH,2,6
AMT,121,149
AMTN,1,0
AMY1A,0,0
AMY1B,0,0
AMY1C,0,0
AMY2A,1,0
AMY2B,74,87
AMZ1,2,1
AMZ2,2327,1909
AMZ2P1,178,98
ANAPC1,1596,1120
ANAPC10,364,330
ANAPC11,982,1492
ANAPC13,1918,914
ANAPC15,57,51
ANAPC16,4705,2833
ANAPC1P1,1,4
ANAPC2,595,392
ANAPC4,501,395
ANAPC5,4014,3535
ANAPC7,1340,910
ANG,27,51
ANGEL1,1418,369
ANGEL2,933,187
ANGPT1,18,14
ANGPT2,2,1
ANGPT4,2,0
ANGPTL1,24,2
ANGPTL2,0,0
ANGPTL3,1,0
